dim,ga_mean,ga_std,gb_mean,gb_std,ga_minus_b_mean,ga_minus_b_std,count
280,2.4025746725442332e-08,3.244724666728871e-08,3.6893410992888676e-08,6.715593059425373e-08,-1.2867667820160023e-08,7.132656065778065e-08,11
281,5.459801499796413e-08,8.858328470751076e-08,3.0784068627554007e-08,7.421186154488169e-08,2.381395347583748e-08,1.2038132979341754e-07,11
282,1.4772840017940325e-07,2.0015890811464487e-07,2.98981994717451e-08,4.3306105368401404e-08,1.1783019715494447e-07,1.9046100874220429e-07,11
283,3.303145845734434e-08,5.054142349081303e-08,2.027837808782351e-06,2.5522806481603766e-06,-1.994806325456011e-06,2.5466845272603678e-06,11
284,4.62389635913496e-07,6.247774422263319e-07,4.39303221355658e-07,5.200487862566661e-07,2.3086426992335873e-08,5.074484192846285e-07,11
285,1.514495920673653e-06,1.6528171045138151e-06,1.7833779963893903e-07,1.9923791683140735e-07,1.3361579931370215e-06,1.548949057905702e-06,11
286,3.6527664633467793e-05,3.7525867810472846e-05,0.00014743795327376574,0.0001460602506995201,-0.00011091028136434034,0.00011724083014996722,11
287,4.842119597014971e-05,7.967096462380141e-05,0.001436644815839827,0.0014139919076114893,-0.001388223492540419,0.0014232012908905745,11
288,4.7095596528379247e-05,6.692510942230001e-05,0.0020564859732985497,0.00261610746383667,-0.002009390387684107,0.0026040407828986645,11
289,0.00011823193926829845,0.00013292334915604442,0.013137503527104855,0.008888522163033485,-0.01301927026361227,0.008851642720401287,11
290,8.524068107362837e-06,7.299654043890769e-06,0.000967208354268223,0.0007055348251014948,-0.0009586844244040549,0.0007024494116194546,11
291,0.021667931228876114,0.012385532259941101,0.003865051083266735,0.003899076022207737,0.017802881076931953,0.012302843853831291,11
292,1.1006918612110894e-06,1.0580361049505882e-06,0.00011067087325500324,0.00018965915660373867,-0.00010957015183521435,0.0001893246080726385,11
293,0.0006506041972897947,0.0005748329567722976,0.038473788648843765,0.048028018325567245,-0.037823185324668884,0.04788912087678909,11
294,8.014931518118829e-05,9.090376988751814e-05,0.00010118135833181441,0.00012839038390666246,-2.1032039512647316e-05,7.85627489676699e-05,11
295,0.0007445301744155586,0.0007143355323933065,0.00030146530480124056,0.0005983079317957163,0.0004430649569258094,0.0009331307373940945,11
296,0.0003234735631849617,0.0003797003591898829,0.001052713836543262,0.0007395465509034693,-0.0007292402442544699,0.0004666616441681981,11
297,8.446307037957013e-05,0.0001283367455471307,0.0008363352972082794,0.0011109934421256185,-0.0007518723141402006,0.0010551102459430695,11
298,3.6868394204248034e-07,5.577788328992028e-07,2.6719930247054435e-05,3.644280877779238e-05,-2.635124656080734e-05,3.648018537205644e-05,11
299,7.490247298846953e-06,9.728802979225293e-06,0.002702083671465516,0.0024404898285865784,-0.002694593509659171,0.002439154777675867,11
300,0.003764442401006818,0.005545222200453281,4.272650403436273e-05,5.728395262849517e-05,0.0037217161152511835,0.005519481375813484,11
301,4.071729620136466e-08,6.218271408897635e-08,7.762555043200337e-08,1.2980510177840188e-07,-3.690825778335238e-08,1.337165116410688e-07,11
302,0.0022577415220439434,0.0010234547080472112,5.349606453819433e-06,6.622390174015891e-06,0.002252392005175352,0.0010212577180936933,11
303,3.0888831048514476e-08,4.4452271197314985e-08,6.845526456800144e-08,8.38582252526976e-08,-3.756644062491432e-08,7.981341099139172e-08,11
304,0.00013331338413991034,0.00015816421364434063,9.512331416772213e-06,1.990901910176035e-05,0.0001238010445376858,0.00016069288540165871,11
305,3.007144641742343e-06,3.350493443576852e-06,3.355703302077018e-05,3.0001896448084153e-05,-3.054988701478578e-05,2.8537357138702646e-05,11
306,4.489728144818628e-09,7.795296852464162e-09,2.6394316066102874e-08,5.4585314046562416e-08,-2.1904588365373456e-08,5.500482203046886e-08,11
307,1.625328849286234e-08,2.1521813664548972e-08,4.004664688750381e-08,8.45974241769909e-08,-2.3793358394641473e-08,8.761303860183034e-08,11
308,2.543217902939432e-08,3.442292495492438e-08,3.2734764232600355e-08,5.054190665987335e-08,-7.302586979562875e-09,5.061949437390467e-08,11
309,6.64501742519974e-09,8.542686558143942e-09,1.588207609870551e-08,3.052075925324971e-08,-9.237058229416562e-09,3.024068817580883e-08,11
310,3.893574884727968e-08,4.642177842129058e-08,1.3559062317369808e-08,2.4660550934640924e-08,2.5376685641731456e-08,4.8248949724438717e-08,11
311,3.08011664174046e-07,3.527920000578888e-07,8.870098326951847e-07,9.757205816640635e-07,-5.789981400994293e-07,7.903387881924573e-07,11
312,1.884094480431031e-08,3.3834577806146626e-08,7.085510400628436e-09,1.149513373377431e-08,1.1755432183235826e-08,3.480833044022802e-08,11
313,2.1380369616963435e-06,3.771174078792683e-06,6.550118882842071e-07,7.246811151162547e-07,1.4830250165687175e-06,3.4234574286529096e-06,11
314,1.3246182788861915e-05,2.1978521544951946e-05,3.603456207201816e-05,2.8519632905954495e-05,-2.278838110214565e-05,2.156889604520984e-05,11
315,5.145794420968741e-05,8.8803208200261e-05,0.00013400423631537706,0.0001505926193203777,-8.254628482973203e-05,7.920184725662693e-05,11
316,4.483097291085869e-05,6.090827810112387e-05,0.00041687794146128,0.0003776953963097185,-0.0003720469831023365,0.00036174157867208123,11
317,0.00011225472553633153,0.00010602259135339409,0.0014099801192060113,0.0011110969353467226,-0.0012977252481505275,0.0010356295388191938,11
318,7.074977474985644e-05,8.998422708828002e-05,1.3423897144093644e-05,1.1717235793184955e-05,5.7325876696268097e-05,8.375450852327049e-05,11
319,0.03194987773895264,0.019119005650281906,0.0001302707096328959,0.00013374046829994768,0.03181961178779602,0.019041256979107857,11
320,1.5295650882762857e-05,1.8913355233962648e-05,0.059713829308748245,0.08509059995412827,-0.05969853699207306,0.08509441465139389,11
321,4.592227196553722e-05,4.858773172600195e-05,1.538090691610705e-05,3.319620373076759e-05,3.0541363230440766e-05,4.0087576053338125e-05,11
322,3.474658296909183e-05,3.566304803825915e-05,1.534500734123867e-05,2.0157318431301974e-05,1.9401571989874355e-05,3.547098458511755e-05,11
323,0.0002255464787594974,0.00016748858615756035,2.2642700059805065e-05,2.9535736757679842e-05,0.00020290380052756518,0.00015362886188086122,11
324,6.603647307201754e-06,7.86907367000822e-06,0.0004100014630239457,0.0007972772000357509,-0.0004033978038933128,0.0007983376854099333,11
325,1.3928413409303175e-06,1.908585545606911e-06,3.0114524633972906e-05,4.08555097237695e-05,-2.8721684429910965e-05,4.058186095790006e-05,11
326,1.4967528159104404e-06,1.5796089201103314e-06,2.6476445782463998e-05,3.872411616612226e-05,-2.4979693989735097e-05,3.794733856921084e-05,11
327,3.8193877571757184e-07,4.382363272270595e-07,6.03291354650537e-08,1.0986524046074919e-07,3.2160968999050965e-07,4.4257541276238044e-07,11
328,1.464545562157582e-06,2.8601962185348384e-06,2.622917008920922e-06,5.342657459550537e-06,-1.15837144676334e-06,6.368365575326607e-06,11
329,6.821483111707494e-07,1.1219952966712299e-06,3.2622590424580267e-06,3.7274826354405377e-06,-2.5801107312872773e-06,3.307453653178527e-06,11
330,5.278370451833325e-08,7.889412501072002e-08,6.841003141744295e-08,8.075345192537497e-08,-1.562632867546654e-08,8.482872004833553e-08,11
331,1.9380694027404388e-07,3.2856132747838274e-07,5.137581027270244e-08,6.757421999736835e-08,1.424311193432004e-07,3.1851607218413847e-07,11
332,5.232682087807916e-05,7.05405545886606e-05,2.8025002393405885e-05,4.156609429628588e-05,2.430182030366268e-05,4.199711111141369e-05,11
333,1.0226604274521378e-07,1.214309861552465e-07,4.491768379466521e-08,7.114412170494688e-08,5.734836250326225e-08,9.714526072457375e-08,11
334,1.9333995737724763e-08,2.9779506860450056e-08,4.6657279995088174e-07,6.935191549928277e-07,-4.4723884684572113e-07,6.923044679751911e-07,11
335,9.349597540619925e-09,1.7557844955717883e-08,8.671493745282532e-09,1.6715722139792888e-08,6.781030736924265e-10,2.27560459364895e-08,11
336,9.795774857934703e-09,1.5503397676752684e-08,1.2100985991025937e-08,2.0135995981718224e-08,-2.3052124653588635e-09,2.3598069276431488e-08,11
337,1.5138431308514555e-07,2.160658993943798e-07,7.298629611796059e-08,1.0194941069130437e-07,7.83980098617576e-08,1.8146472768876265e-07,11
338,3.376484869477281e-08,4.2749245920958856e-08,1.7875988689297628e-08,3.2326205712251976e-08,1.588886178183202e-08,5.208643827359083e-08,11
339,4.4330417381388543e-07,5.801422844342596e-07,3.559669607966498e-07,4.233346544424421e-07,8.73372343335177e-08,5.699972689399146e-07,11
340,1.7120554218763573e-07,2.6708551104093203e-07,3.7799345875555446e-08,4.5933902015349304e-08,1.334061749957982e-07,2.6593514235173643e-07,11
341,0.008033538237214088,0.006412008311599493,0.0002459539973642677,0.00022895536676514894,0.007787584792822599,0.006251437123864889,11
342,0.00019883493951056153,0.00024357913935091347,0.014645925723016262,0.024015361443161964,-0.01444709300994873,0.023828474804759026,11
343,3.477512291283347e-05,3.8669917557854205e-05,0.0002520474372431636,0.00041141928522847593,-0.0002172723034163937,0.00038266932824626565,11
344,0.0061614797450602055,0.005299985408782959,0.0016520447097718716,0.0022045772057026625,0.004509435500949621,0.004959185607731342,11
345,0.0006571857957169414,0.00044006897951476276,0.0003267604042775929,0.0004186372389085591,0.000330425362335518,0.0004687773180194199,11
346,0.03197568282485008,0.029215911403298378,0.0035456835757941008,0.0036987527273595333,0.028430001810193062,0.02648456022143364,11
347,1.6639529576423229e-06,1.5952889498294098e-06,2.026088441198226e-05,2.2236970835365355e-05,-1.8596931113279425e-05,2.1205425582593307e-05,11
348,0.011603150516748428,0.006195561960339546,0.018309595063328743,0.022425584495067596,-0.006706440821290016,0.02138337306678295,11
349,6.392228968365998e-09,8.157782005469016e-09,3.185516916914821e-08,4.644787665597505e-08,-2.5462940200782214e-08,4.44187513437555e-08,11
350,1.3331872139588086e-07,1.4458727548571915e-07,2.9568033710347663e-07,4.422809922743909e-07,-1.6236157307503163e-07,4.2042407244480273e-07,11
351,1.4738787967871758e-07,1.91296166462962e-07,2.3109005553578754e-07,3.0482871693493507e-07,-8.37021687516426e-08,2.679185797660466e-07,11
352,4.3007990058185896e-08,6.131430296818507e-08,1.7738737767558632e-07,4.099184423012048e-07,-1.343793769592594e-07,4.046532069423847e-07,11
353,4.254359737387858e-06,5.587520263361512e-06,1.789320322131971e-06,2.1832154288858874e-06,2.465039187882212e-06,5.930370662099449e-06,11
354,2.9815882953698747e-06,4.096827524335822e-06,7.040380751277553e-06,9.981878065445926e-06,-4.058792910655029e-06,1.0319908142264467e-05,11
355,7.291026236089237e-07,9.357665931020165e-07,2.9016844109719386e-06,2.6487882678338792e-06,-2.1725818442064337e-06,2.1122236830706242e-06,11
356,6.26593077868165e-07,8.248706535596284e-07,4.604376499628415e-06,6.596395905944519e-06,-3.977783308073413e-06,6.098674475651933e-06,11
357,1.2510759539452465e-08,1.4323291885887102e-08,3.63383492185676e-07,5.942350753684877e-07,-3.5087271044176305e-07,5.882376399313216e-07,11
358,6.12161920798826e-06,8.339945452462416e-06,1.529178206283177e-08,2.4977483192856198e-08,6.1063260545779485e-06,8.340636668435764e-06,11
359,7.194537943178148e-07,9.725556537887314e-07,1.8357823705628107e-07,2.3459526232727512e-07,5.358755288398243e-07,9.252091217604175e-07,11
360,1.4228568545604503e-07,2.1010967543588777e-07,1.6909172018131358e-07,2.081198999803746e-07,-2.6806038277982225e-08,1.734635333150436e-07,11
361,4.734357350599794e-09,7.4248798220821755e-09,1.045449149472688e-08,1.2826235185059431e-08,-5.720134588216297e-09,1.2123370751737639e-08,11
362,6.086163750751439e-08,8.910993898325614e-08,2.4482654126245507e-08,2.8411200503342116e-08,3.63789887103394e-08,8.081382674163251e-08,11
