dim,ga_mean,ga_std,gb_mean,gb_std,ga_minus_b_mean,ga_minus_b_std,count
417,9.594220529152153e-09,4.207506520970128e-08,1.0345290490931802e-07,4.212516273582878e-07,-9.385867372202483e-08,4.201234844458668e-07,50
418,5.337385005077522e-07,2.0481102183111943e-06,3.092750944233558e-08,1.1803582111724609e-07,5.028108489568694e-07,2.0328329810581636e-06,50
419,1.0722868148960174e-09,4.618192939176424e-09,1.7412357777857324e-08,5.864207253125642e-08,-1.634006885353756e-08,5.771302724610905e-08,50
420,6.368553240321262e-09,2.1334676247874995e-08,5.599297470126885e-09,1.69866964938592e-08,7.692559367278307e-10,2.2645769703899532e-08,50
421,2.2500127982993945e-08,8.733789513826196e-08,1.2504870916529853e-08,4.1265757033670525e-08,9.995254401928833e-09,8.367895532046532e-08,50
422,6.245059580578527e-08,1.9898347147773165e-07,4.811755438538512e-09,1.6910535194369913e-08,5.763883947906834e-08,1.9691813690769777e-07,50
423,4.112929552491096e-09,1.549007855317086e-08,1.5106014217280972e-08,4.0479658736103374e-08,-1.0993087329325135e-08,3.751724619860397e-08,50
424,6.167513220134424e-07,1.9698038613569224e-06,3.4548708782722315e-08,1.4282208837812504e-07,5.822026878377073e-07,1.947008513525361e-06,50
425,7.231158782872171e-09,2.543952071221156e-08,3.964230927522294e-06,8.724271538085304e-06,-3.956999080401147e-06,8.723357495910022e-06,50
426,3.190516963513801e-06,5.221093942964217e-06,4.579426171602563e-09,2.141584332093771e-08,3.1859378850640496e-06,5.214468728809152e-06,50
427,1.476164015912218e-05,3.4166736440965906e-05,3.830146422245662e-09,1.1778330311074114e-08,1.475780845794361e-05,3.4162883821409196e-05,50
428,1.6861472218465678e-09,5.9884417424882486e-09,1.782061553967651e-05,5.189432704355568e-05,-1.7818931155488826e-05,5.189193325350061e-05,50
429,3.2771768019301817e-06,6.650611794611905e-06,2.4588484137666455e-08,7.068025098533326e-08,3.2525886126677506e-06,6.631923497479875e-06,50
