dim,ga_mean,ga_std,gb_mean,gb_std,ga_minus_b_mean,ga_minus_b_std,count
193,5.256075610304833e-07,1.1638671821856406e-06,3.664552195914439e-06,9.759845852386206e-06,-3.138944521197118e-06,9.131625120062381e-06,203
194,5.138900860401918e-07,1.3657955832968582e-06,2.700847971937037e-06,7.1353247221850324e-06,-2.1869577722100075e-06,6.537467925227247e-06,203
195,5.284946951178426e-07,1.8217230035588727e-06,7.680831117795606e-07,2.3532275008619763e-06,-2.395882745531708e-07,2.64493610302452e-06,203
196,2.755472792159708e-07,6.091655109230487e-07,9.392657034368312e-07,2.4035216483753175e-06,-6.637181400037662e-07,2.235992724308744e-06,203
197,2.5470322384535393e-07,6.611422804780887e-07,7.515615720876667e-07,2.179959210479865e-06,-4.968581492903468e-07,2.0352142655610805e-06,203
198,6.795702915951551e-07,1.5262711485775071e-06,7.802696586622915e-07,2.2165563677845057e-06,-1.0069958733538442e-07,2.0933084670105018e-06,203
199,6.088138775339758e-07,1.358198574052949e-06,6.644706331826455e-07,1.9406384126341436e-06,-5.5656816044802326e-08,1.871472704806365e-06,203
200,6.757587129868625e-07,1.6405086853410467e-06,0.001153451157733798,0.0018086001509800553,-0.0011527754832059145,0.0018080617301166058,203
201,0.0007170524913817644,0.0007949318969622254,2.1615494461002527e-06,6.26302471573581e-06,0.0007148910081014037,0.0007933229207992554,203
202,0.0025269926991313696,0.0036967205815017223,3.3688772873574635e-06,1.1157092558278237e-05,0.0025236238725483418,0.0036969096399843693,203
203,0.00020924743148498237,0.0003258956130594015,7.160529094107915e-06,1.6064936062321067e-05,0.00020208695787005126,0.0003240625956095755,203
204,1.724611865938641e-05,3.8823793147457764e-05,5.133418017067015e-05,8.90581140993163e-05,-3.408806151128374e-05,8.458516094833612e-05,203
205,7.747619383735582e-05,0.00020400095672812313,4.391753100208007e-05,8.469797467114404e-05,3.355865555931814e-05,0.0002104724117089063,203
206,0.0009147414821200073,0.0016854616114869714,0.000822654867079109,0.0019378089345991611,9.208636765833944e-05,0.002335673663765192,203
207,3.681956513901241e-06,7.0491259975824505e-06,0.0014222412137314677,0.005324066150933504,-0.0014185591135174036,0.005323444493114948,203
