dim,gate_a_anchor,gate_b_anchor,gate_a_minus_b_anchor
60,5.128445224045208e-08,4.2463010885285257e-10,5.085982124342081e-08
61,4.0752528462917326e-08,6.404297647755186e-10,4.0112098531608353e-08
62,2.444716429295113e-08,1.8392384837362385e-10,2.4263240305799627e-08
63,1.49460497311793e-08,2.503558471644851e-09,1.2442491481579054e-08
64,1.8871111251428374e-07,4.101401718248354e-10,1.883009730363483e-07
65,2.197113424529107e-08,5.344750864111347e-09,1.662638382526893e-08
66,5.983271330478601e-05,1.6784390544088978e-09,5.983103619655594e-05
67,1.74094623162091e-08,4.277196421753615e-05,-4.275455648894422e-05
68,4.012622767390894e-08,5.709054895497445e-10,3.955532079658042e-08
69,1.512456471175483e-08,0.0003450181393418461,-0.0003450030053500086
70,4.1832907299976796e-05,1.7570901678087836e-10,4.1832732676994056e-05
71,6.975383826102188e-08,6.981611733181126e-08,-6.227907078937278e-11
72,4.062017524120165e-06,9.578718929148522e-10,4.061059826199198e-06
73,1.734291465993465e-08,3.5682908219314413e-06,-3.550947894837009e-06
74,3.962760786180297e-07,5.168691585843987e-10,3.957592014103284e-07
75,5.099077071690772e-08,1.0494686369932893e-10,5.088582355483595e-08
76,2.8666477192018647e-06,1.052975484583385e-10,2.8665424451901345e-06
77,1.3287790423532897e-08,2.3469501684303395e-06,-2.333662450837437e-06
78,7.552757779194508e-07,1.1933870558422655e-10,7.551564635832619e-07
79,5.8868243613119375e-09,3.5449271296172924e-10,5.532331481816755e-09
80,2.422908096377796e-08,9.668434802767578e-11,2.4132397413723083e-08
81,2.8245953132000068e-08,2.7198896468405565e-09,2.55260630410703e-08
82,3.216640820369321e-08,5.811615078066268e-10,3.1585248194687665e-08
83,4.3531731108714666e-08,3.5502387141228553e-10,4.317670843079213e-08
84,5.404331648861671e-09,5.53986856388633e-10,4.850345014517643e-09
85,1.2651926617479603e-08,1.362831514306606e-09,1.1289094992150694e-08
86,1.2511971902995356e-08,3.3267117949264957e-09,9.18526055215807e-09
87,4.60675515512321e-08,2.4409176901940555e-09,4.3626634749216464e-08
88,9.63766737527294e-08,7.548914271460205e-10,9.562177893940316e-08
89,2.2992691128820297e-07,5.240842204656815e-10,2.2940282917716104e-07
90,6.773687033501119e-08,5.3619125806037e-10,6.72006805757519e-08
91,8.307329046886025e-09,1.4831509353996353e-09,6.82417811148639e-09
92,9.951036616939746e-08,6.7774501566475465e-09,9.273291823319596e-08
93,5.868103336581498e-09,3.3327470561062e-08,-2.7459368112658922e-08
94,5.4044580792833585e-06,4.941994120599702e-05,-4.401548358146101e-05
95,2.344963604627992e-06,5.2306592124296e-07,1.8218977402284509e-06
96,1.772220821294468e-05,3.1738942141146254e-08,1.7690468666842207e-05
97,1.8320936590043857e-07,1.5000259736552835e-05,-1.4817050214332994e-05
98,2.4733915893193625e-07,4.546543277683668e-05,-4.521809387370013e-05
99,2.744120683928486e-05,4.850792834076856e-08,2.73926980298711e-05
100,2.1804562493343838e-06,7.442761125275865e-05,-7.224715227494016e-05
101,1.1478045536250647e-07,3.270284423706471e-06,-3.155503918605973e-06
102,1.3491070482984924e-08,2.5830682037764063e-10,1.3232763329540376e-08
