dim,gate_a_anchor,gate_b_anchor,gate_a_minus_b_anchor
105,1.4723651986514597e-07,2.9012447555487597e-08,1.1822407230965837e-07
106,9.082145879801828e-08,3.705620699179235e-08,5.376525180622593e-08
107,1.1155197654488802e-07,7.417948921784046e-08,3.7372487327047565e-08
108,2.591905285953544e-07,5.40752722599791e-08,2.051152563353753e-07
109,6.743873370851361e-08,2.6522558371766536e-08,4.091617711310391e-08
110,2.2267593635660887e-07,2.8419297137816102e-08,1.9425664277150645e-07
111,1.1098849483914819e-07,6.195540436237934e-08,4.903309047676885e-08
112,9.191463590241256e-08,9.774524301064957e-08,-5.830607108237018e-09
113,1.4473999954134342e-07,4.5636024736950276e-08,9.910397125167947e-08
114,4.995587232770049e-08,4.457010760461344e-08,5.38576472308705e-09
115,1.8850165872663638e-07,3.1237263442562835e-08,1.5726439528407354e-07
116,1.752099194618495e-07,1.5197079150652826e-08,1.600128456402672e-07
117,1.4008200821535866e-07,4.289422506076335e-08,9.718777960188163e-08
118,2.2849096836807803e-08,1.4276334781015976e-08,8.572762055791827e-09
119,2.602481572466786e-07,4.2704915159674783e-08,2.175432456397175e-07
120,9.152992674898996e-08,5.9259146922840955e-08,3.227077982614901e-08
121,1.0524265547928735e-07,9.035821335601213e-08,1.4884442123275221e-08
122,1.4923751905371319e-06,1.1524406318130787e-08,1.4808507557972916e-06
123,1.5820905900909565e-06,4.5734747544656784e-08,1.5363558532044408e-06
124,1.5864654415054247e-05,3.299545880963706e-08,1.583165976626333e-05
125,1.0055855881319076e-07,7.356824482940283e-08,2.6990313983787928e-08
126,1.7915463956796884e-07,2.7737728487409186e-06,-2.5946183086489327e-06
127,1.7820457287598401e-06,1.3068881088429407e-08,1.7689768583295518e-06
128,1.5331829672504682e-07,8.977229413176246e-07,-7.444046445925778e-07
129,1.3742733528943063e-07,6.952629405532207e-07,-5.578356194746448e-07
130,5.639996203399278e-08,1.8368706378169009e-07,-1.2728710885312466e-07
131,1.6081118019428686e-06,1.3566515022489511e-08,1.5945453242238727e-06
132,1.7980265454298205e-07,1.824962367891203e-07,-2.6935822461382486e-09
133,1.4966987293973943e-07,3.2244525272062674e-08,1.1742534411496308e-07
134,6.670391883289994e-08,3.0036002129918415e-08,3.666791670298153e-08
135,5.601359376328219e-08,8.342133384076078e-08,-2.7407740077478593e-08
136,2.313026783440364e-07,4.218115279286394e-08,1.8912152199845877e-07
137,3.8560983739444055e-07,2.9076820950990623e-08,3.5653300756166573e-07
138,5.2320967114383166e-08,1.2550907513286802e-07,-7.318810446577118e-08
139,9.967995140414132e-08,5.5939704424190495e-08,4.3740246979950825e-08
140,1.439611025944032e-07,2.6592868351826837e-08,1.1736823068986268e-07
141,2.3028800910651626e-07,4.062181346853322e-08,1.8966619563798304e-07
142,8.716008181863799e-08,1.8865836892700827e-08,6.829424137322349e-08
143,7.200386420436189e-08,3.0012067497864336e-08,4.199179670649755e-08
144,9.075530726931902e-08,2.6544423548102714e-08,6.421088016850263e-08
145,4.619819193862895e-08,2.839697188505852e-08,1.7801220053570432e-08
146,1.1896930374177828e-07,9.272886103417477e-08,2.6240442707603506e-08
