dim,ga_mean,ga_std,gb_mean,gb_std,ga_minus_b_mean,ga_minus_b_std,count
34,2.793574367387919e-07,1.4057943644729676e-06,8.843136356517789e-08,2.975455117848469e-07,1.9092607317361399e-07,1.1331901532685151e-06,59
35,1.271417744419523e-07,6.518520194731536e-07,8.130073325673948e-08,2.804603411732387e-07,4.5841041185212816e-08,4.0516962940273515e-07,59
36,7.027543915683054e-07,2.573781330283964e-06,2.8977661159501622e-08,9.694772984403244e-08,6.737769240316993e-07,2.4835546810209053e-06,59
37,2.7120873369312903e-07,1.2888785931863822e-06,3.9618743841174364e-08,1.408459695539932e-07,2.3158999340466835e-07,1.1581274748095893e-06,59
38,1.3529027853564912e-07,7.215854225250951e-07,6.213426928525223e-08,1.894622840836746e-07,7.315603056667896e-08,5.614137990050949e-07,59
39,3.4890373967755295e-07,1.5158822179728304e-06,6.814112651909454e-08,2.3642050450689567e-07,2.807625776313216e-07,1.2933551261085086e-06,59
40,4.323148914409103e-07,1.997251729335403e-06,8.156381881008201e-08,2.350857357669156e-07,3.507511223688198e-07,1.7952845610125223e-06,59
41,2.79080296650136e-07,1.4350708852362004e-06,8.260607131660436e-08,2.8800312179555476e-07,1.964742182281043e-07,1.1669832247207523e-06,59
42,3.2714913800191425e-07,1.4513351516143302e-06,5.510492684379642e-08,1.868526879889032e-07,2.720442182635452e-07,1.2764428447553655e-06,59
43,1.483678460090232e-07,7.778214126119565e-07,7.145641944816816e-08,2.7236274036113173e-07,7.691141945542768e-08,5.228615123087366e-07,59
44,1.2724490261462051e-07,6.876945803924173e-07,3.8229170939985124e-08,1.2912153124489123e-07,8.901570680563964e-08,5.724231186832185e-07,59
45,1.5206282455437758e-07,7.651377700312878e-07,2.0228920050158194e-07,5.906700835112133e-07,-5.022634752549493e-08,3.6822524407398305e-07,59
46,2.478188321219932e-07,1.1824514558611554e-06,1.4692604111132823e-07,4.7147827331173175e-07,1.0089280522151967e-07,7.722568398094154e-07,59
47,1.885502882714718e-07,9.568555014993763e-07,1.1406127242707953e-07,3.6609998232961516e-07,7.448903005524699e-08,6.401252790055878e-07,59
48,2.5814921400524327e-07,1.1627142839643057e-06,3.232544543152471e-08,1.1120764753513868e-07,2.258237259411544e-07,1.061810053215595e-06,59
49,3.499021659081336e-07,1.59204057581519e-06,4.552813592795246e-08,1.6049104090143373e-07,3.043739411623392e-07,1.4420687648453168e-06,59
50,4.382894189802755e-07,1.9756844267249107e-06,6.103247329747319e-08,1.998472640707405e-07,3.7725683910139196e-07,1.7923894120031036e-06,59
51,2.3402647286729916e-07,1.1211317314518965e-06,1.0990404319954905e-07,3.3400394272575795e-07,1.2412243677317747e-07,8.384851071241428e-07,59
52,1.9178342824943684e-07,9.084935754799517e-07,7.201953877711276e-08,2.5224733235518215e-07,1.1976389657775144e-07,6.761059694326832e-07,59
53,1.8923314826224669e-07,9.031519994096016e-07,7.190664064182783e-08,2.4288661393256916e-07,1.1732647919870942e-07,6.852164915471803e-07,59
