dim,gate_a_anchor,gate_b_anchor,gate_a_minus_b_anchor
41,4.377166629154772e-09,5.204977782113929e-09,-8.27811152959157e-10
42,5.309227724126231e-09,4.797599539863029e-10,4.829467936673382e-09
43,1.9228818537442294e-09,3.9461323098066714e-11,1.8834205306461627e-09
44,2.5302431261309266e-09,2.149892930347619e-09,3.8035019578330775e-10
45,1.2670119398094926e-09,2.478981002695946e-07,-2.466310888848966e-07
46,1.7005015173765514e-09,1.5452866364285e-07,-1.528281643459195e-07
47,3.528568104371743e-09,1.662037618643808e-09,1.8665304857279352e-09
48,6.014593267877899e-09,1.479472273857585e-11,5.999798435851744e-09
49,1.063412646828965e-08,7.085769193615477e-10,9.925549271372347e-09
50,5.617992737683153e-09,2.32873220706864e-10,5.385119461465138e-09
51,4.363379435545767e-09,6.7559380312332e-10,3.6877856324224467e-09
52,5.068303554622844e-09,4.984386792195039e-10,4.569864930914491e-09
53,3.486254063211902e-10,1.6500592558976734e-10,1.8361948073142287e-10
54,2.6357029891954653e-09,2.0162033154136338e-10,2.434082713165253e-09
55,1.9820673990977866e-09,3.1070424011403475e-10,1.6713631589837519e-09
56,6.0961102832379765e-09,4.923301766268651e-10,5.6037801066111115e-09
57,3.0239510895313515e-10,2.1779493486473456e-10,8.460017408840059e-11
58,1.3879777327474585e-09,3.8128303292417343e-10,1.0066947275788607e-09
59,2.47826759114389e-09,2.6589228041551394e-10,2.212375393995103e-09
60,6.339544000866226e-09,3.503778100988342e-10,5.989166051989514e-09
61,4.7583164075604145e-09,5.43855016577055e-10,4.214461224449906e-09
62,3.4540026394580536e-09,2.5742656270533182e-11,3.42825989818607e-09
63,2.6796971308584716e-09,2.316122182932645e-09,3.6357494792582656e-10
64,3.8815905156752706e-08,5.068493402760055e-10,3.830905725976663e-08
65,1.3341235671759932e-08,2.5663213776283555e-09,1.0774914294131577e-08
66,5.4042553529143333e-05,4.386557506119715e-10,5.4042113333707675e-05
67,3.480853605353218e-09,2.2826677650300553e-06,-2.279186901432695e-06
68,3.01173841421587e-09,4.2213524342749054e-10,2.589603198543955e-09
69,3.6172649320320716e-09,3.4758075344143435e-05,-3.4754459193209186e-05
70,3.722897236002609e-05,3.3282304690018805e-10,3.7228641303954646e-05
71,5.926554802471173e-09,2.8998073386965473e-10,5.636573874312489e-09
72,3.3852713965387693e-09,7.443192728828762e-10,2.640952123655893e-09
73,4.9968891246976455e-09,2.2336930669553112e-06,-2.2286960756900953e-06
74,2.5194888166879537e-06,1.2527068271594999e-09,2.518236215109937e-06
75,1.802747675583305e-07,5.1708137771555585e-11,1.8022305425802188e-07
76,2.7284482939649024e-07,5.737165950647771e-11,2.7278744596515025e-07
77,1.5461816271766793e-09,1.9328474536450813e-06,-1.9313013126520673e-06
78,3.79123896721012e-08,1.2860186526797435e-10,3.778378854235598e-08
79,1.055857401510707e-09,1.9665477579700053e-10,8.592025979581308e-10
80,2.397903875461793e-09,1.895464479817477e-10,2.2083574968689845e-09
81,3.6908966993820513e-09,1.0468318656364772e-08,-6.777422179027326e-09
82,5.940702152429367e-09,1.9046116073173636e-10,5.750241172108872e-09
83,1.3829937195453113e-09,2.927477149583524e-10,1.0902460045869589e-09
84,5.545298664699772e-10,5.525954138718703e-10,1.9344525981068728e-12
85,2.713602453852104e-09,3.390586977847221e-10,2.3745436728006553e-09
86,4.185022994818155e-09,1.3098739870542886e-09,2.8751490077638664e-09
87,8.224959380243035e-09,4.331049296979472e-09,3.893910083263563e-09
88,1.8713164351424894e-08,4.0927786160160906e-10,1.8303886406556558e-08
89,8.705654153118303e-08,1.7365782423173215e-10,8.688288488656326e-08
90,7.563253134890147e-09,2.3434318374704333e-10,7.328909923387528e-09
91,1.5983937506902635e-09,7.876317376087627e-10,8.107620130815008e-10
92,1.0610366985019937e-07,1.12915388150725e-09,1.0497451796709356e-07
93,2.508454832739204e-10,9.337025597133675e-11,1.5747522730258368e-10
94,1.0671910786186345e-06,0.00030948189669288695,-0.00030841471743769944
95,3.4144329674745677e-07,1.2629016055143438e-07,2.151531361960224e-07
96,2.176312960955329e-07,5.9265872209834924e-09,2.1170470176912204e-07
97,5.2068235163460486e-06,2.26049934326511e-08,5.184218480280833e-06
98,2.531322422782978e-07,1.3920046512794215e-05,-1.366691412840737e-05
99,8.667915381010971e-07,1.3803719056681985e-08,8.529877959517762e-07
100,2.7421694426266185e-07,1.571585706017231e-08,2.5850107476799167e-07
101,8.159909192784198e-09,1.6351854128515697e-06,-1.6270255400741007e-06
102,3.914626063306059e-07,6.61744936625297e-10,3.908008636699378e-07
103,1.4811896107858047e-05,4.330801495200376e-09,1.4807565094088204e-05
104,4.2989427129214164e-08,1.3617695859835521e-10,4.285325161390574e-08
105,1.871792301244568e-05,2.761969541964504e-10,1.8717646526056342e-05
106,1.2621974576632056e-09,1.6355944865154015e-07,-1.6229725474659062e-07
107,2.944160915063776e-09,6.662522755718214e-10,2.277908528469652e-09
108,6.916367034648374e-09,8.388650662993768e-09,-1.4722836283453944e-09
109,1.5471788294973976e-09,2.2883647754490255e-10,1.3183423241969194e-09
110,3.7137977138002043e-09,1.3982277835555834e-10,3.5739748938112825e-09
111,8.371306980947679e-10,2.282327521418992e-10,6.088979320750809e-10
